item_id,statement_guid,property_id,wikidata_value,meta_wikidata_value,external_value,external_url,type
Q5294091,Q5294091$5c91655f-0229-4b67-aa56-80606a4022e2,P569,+1920-01-01T00:00:00Z,,+1921-08-17T00:00:00Z,http://snaccooperative.org/ark:/99166/w6wf6zt0,statement
Q312803,q312803$A84B4805-50E9-47C3-B36E-E66E242DB104,P569,+1946-12-30T00:00:00Z,,+1945-12-30T00:00:00Z,https://catalogue.bnf.fr/ark:/12148/cb14764465t,statement
Q266361,Q266361$9B878B2E-FBF1-41E3-A4A2-87C807505D12,P569,+1969-01-22T00:00:00Z,,+1967-01-22T00:00:00Z,https://www.ibdb.com/broadway-cast-staff/394874,statement
Q234080,Q234080$1cd04fe3-f0c5-4496-9b66-17638705beb9,P569,+1932-11-29T00:00:00Z,,+1935-11-29T00:00:00Z,https://www.discogs.com/artist/3971511,statement
Q709942,q709942$48C90FAD-BA26-4B55-B3C7-E88DA428BD04,P569,+1910-02-17T00:00:00Z,,+1911-02-17T00:00:00Z,https://catalogue.bnf.fr/ark:/12148/cb141885376,statement
Q55230,q55230$9D10E223-20CB-42B2-9C02-1CCECAC1C97E,P569,+1902-12-05T00:00:00Z,,+1905-12-05T00:00:00Z,http://www.filmportal.de/person/4c22e36d3ca64dc9bea2a621fd50f1f2,statement
Q262728,Q262728$0B02004B-612B-43ED-AE52-E607EFF0A00E,P569,+1894-06-23T00:00:00Z,,+1895-06-23T00:00:00Z,https://catalogue.bnf.fr/ark:/12148/cb140420032,statement
Q272083,q272083$43D12C23-4654-4190-891D-821CAC2291FA,P569,+1901-06-30T00:00:00Z,,+1904-06-30T00:00:00Z,https://pantheon.world/profile/person/Glenda_Farrell,statement
Q11681261,Q11681261$78334F21-9479-4E41-9F39-EBF7DC588C83,P569,+1909-07-07T00:00:00Z,,+1914-07-07T00:00:00Z,https://www.ibdb.com/broadway-cast-staff/98950,statement
Q953627,Q953627$D77F1DFE-6C89-4A1E-B04E-882B7643412D,P569,+1934-03-23T00:00:00Z,,+1929-03-23T00:00:00Z,https://www.britannica.com/biography/Mark-Rydell,statement
Q75612,q75612$F765C350-F858-4484-9BF1-A3F22D02F1F3,P569,+1904-01-01T00:00:00Z,,+1902-11-21T00:00:00Z,https://www.noosfere.org/livres/auteur.asp?numauteur=-50416,statement
Q3371293,Q3371293$608DE78C-C4A9-4B5D-8CAC-4C28927C78E2,P569,+1866-09-01T00:00:00Z,,+1867-09-01T00:00:00Z,https://catalogue.bnf.fr/ark:/12148/cb13092098g,statement
Q1324024,Q1324024$0A4ECD78-29E7-4DC1-BB87-380D3134E9A5,P569,+1946-12-06T00:00:00Z,,+1944-12-06T00:00:00Z,https://www.universalmusic.fr/artistes/20000118337,statement
Q4726032,Q4726032$EDADB4CC-8AC9-4C3D-8DE4-FC62D1EA6F78,P569,+1876-06-07T00:00:00Z,,+1872-06-07T00:00:00Z,http://www.fembio.org/biographie.php/frau/frauendatenbank?fem_id=20737,statement
Q3387342,Q3387342$9AE554E0-932E-4C69-8138-C69E93404E1D,P569,+1889-12-29T00:00:00Z,,+1887-12-29T00:00:00Z,https://www.findagrave.com/memorial/7967613,statement
Q5294068,Q5294068$EC2280D4-94E4-401A-8549-D6561115473C,P569,+1875-02-17T00:00:00Z,,+1877-02-17T00:00:00Z,https://catalogue.bnf.fr/ark:/12148/cb171128037,statement
Q162621,q162621$09A0B09D-4958-4B35-8946-DA91099BBDB7,P569,+1883-04-06T00:00:00Z,,+1884-04-06T00:00:00Z,https://www.findagrave.com/memorial/4537,statement
Q5679961,Q5679961$661EA895-6741-41C4-A531-0F05B553FE87,P569,+1877-10-15T00:00:00Z,,+1887-10-15T00:00:00Z,https://www.ibdb.com/broadway-cast-staff/16158,statement
Q36322,q36322$AFA267DC-F247-469A-8CBD-7B47F20680B9,P570,+1877-07-24T00:00:00Z,,+1817-07-18T00:00:00Z,http://www.enciklopedija.hr/Natuknica.aspx?ID=4668,statement
Q467908,Q467908$C0D8303D-F5F6-4190-BE48-83B67EB36B33,P569,+1951-07-06T00:00:00Z,,+1954-07-06T00:00:00Z,https://www.fandango.com/people/wd-49880,statement
Q4943178,Q4943178$F21DD20F-F7E7-4775-B148-2334AD6F312D,P569,+1941-05-21T00:00:00Z,,+1940-05-21T00:00:00Z,https://catalogue.bnf.fr/ark:/12148/cb141585665,statement
Q87163,Q87163$06EC149C-BE14-4B3C-9AD4-0D8037558E4A,P569,+1872-02-11T00:00:00Z,,+1873-02-11T00:00:00Z,https://data.onb.ac.at/nlv_lex/perslex/B/Bartsch_Rudolf_Hans.htm,statement
Q272092,q272092$D0549E59-D4D0-41C5-A659-8CD0A6033FC9,P569,+1910-08-25T00:00:00Z,,+1909-08-25T00:00:00Z,https://www.britannica.com/biography/Ruby-Keeler,statement
Q1677170,q1677170$9FB9EBF0-069D-4FAD-8499-584F0275C4C2,P569,+1895-08-18T00:00:00Z,,+1896-08-18T00:00:00Z,https://en.geneastar.org/genealogie/?refcelebrite=pickfordj,statement
Q6760818,Q6760818$DBEC993B-3C7B-4E3D-A156-F2507B99E007,P569,+1875-07-10T00:00:00Z,,+1876-07-10T00:00:00Z,https://www.ibdb.com/broadway-cast-staff/61623,statement
Q7377388,Q7377388$7238EDF6-29F9-4AC2-B770-DF7D0BF2ABED,P569,+1902-12-17T00:00:00Z,,+1895-12-17T00:00:00Z,https://www.ibdb.com/broadway-cast-staff/76526,statement
Q434413,Q434413$584C5846-50FE-437F-BEBD-4D28B0224EA1,P569,+1901-07-25T00:00:00Z,,+1905-07-25T00:00:00Z,https://pantheon.world/profile/person/Lila_Lee,statement
Q335855,Q335855$5A847C98-6B3B-4B69-B0ED-55B7BC64B605,P569,+1922-07-10T00:00:00Z,,+1921-07-10T00:00:00Z,https://www.babelio.com/auteur/-/251759,statement
Q4896094,Q4896094$47C0BA5F-330A-4A0B-9195-6C14F9856FC8,P569,+1909-01-01T00:00:00Z,,+1916-09-29T00:00:00Z,https://www.findagrave.com/memorial/5174,statement
Q948246,Q948246$E375E9D6-4DF9-416B-BE8C-114A9A65985C,P569,+1928-12-01T00:00:00Z,,+1926-12-01T00:00:00Z,https://pantheon.world/profile/person/Keith_Michell,statement
Q326094,q326094$77BBA6B6-17C0-43FD-A9E5-F3E8EFFB7C64,P569,+1942-11-01T00:00:00Z,,+1944-11-01T00:00:00Z,https://catalogue.bnf.fr/ark:/12148/cb17702069s,statement
Q5363066,Q5363066$b2cc95a5-37e6-4daa-8788-0b3f2dbb0360,P569,+1958-11-05T00:00:00Z,,+1951-11-05T00:00:00Z,https://www.csfd.cz/tvurce/219081/,statement
Q374263,Q374263$F252AFA1-37CA-4482-A800-747FD1E065DC,P569,+1976-10-20T00:00:00Z,,+1977-10-20T00:00:00Z,https://www.fandango.com/people/wd-218935,statement
Q293087,Q293087$B7ADB57C-D008-4C1A-8EAF-1720EF5B7201,P569,+1904-10-20T00:00:00Z,,+1901-10-20T00:00:00Z,https://www.blackpast.org/african-american-history/hall-adelaide-1901-1993/,statement
Q206939,q206939$D4E9CFB3-08EF-47FE-A7AB-28D911BF886E,P569,+1955-08-25T00:00:00Z,,+1954-08-25T00:00:00Z,https://pantheon.world/profile/person/Elvis_Costello,statement
Q193426,q193426$D509F830-6C2B-4F1F-A5D9-430DB2C8C732,P569,+1923-07-06T00:00:00Z,,+1921-07-06T00:00:00Z,https://www.mymovies.it/persone/-/325410,statement
Q7979350,Q7979350$E313AF74-5328-48B7-B151-3E16EAA457B9,P569,+1854-06-09T00:00:00Z,,+1852-06-09T00:00:00Z,http://snaccooperative.org/ark:/99166/w6ft966q,statement
Q7273663,Q7273663$7797C55E-91D3-4C13-9D08-5FF68FA75499,P569,+1870-08-13T00:00:00Z,,+1873-08-13T00:00:00Z,http://snaccooperative.org/ark:/99166/w6b85zzq,statement
Q526365,Q526365$559DA32A-AC91-4E16-B73B-4F18A41B9B50,P569,+1933-11-07T00:00:00Z,,+1934-11-07T00:00:00Z,https://www.fandango.com/people/wd-335709,statement
Q229251,Q229251$9be5cf8e-9d59-4f23-b7cc-18cb75adc84d,P569,+1923-11-09T00:00:00Z,,+1922-11-09T00:00:00Z,http://www.fembio.org/biographie.php/frau/frauendatenbank?fem_id=6940,statement
Q1363692,q1363692$D7E50353-488A-409F-9F5A-A1CD8289E92A,P569,+1931-07-10T00:00:00Z,,+1933-07-10T00:00:00Z,https://www.britannica.com/biography/Jerry-Herman,statement
Q70662,q70662$80E8D843-8F86-465B-982B-BF5699DB0E1B,P570,+1953-05-08T00:00:00Z,,+1952-05-08T00:00:00Z,https://brockhaus.de/ecs/enzy/article/eichberg-richard,statement
Q3108454,Q3108454$26E2353E-7B7C-47E6-98CF-50D919ECF0F4,P569,+1885-09-16T00:00:00Z,,+1884-09-16T00:00:00Z,http://imslp.org/wiki/Category:Unger%2C_Gladys_Buchanan,statement
Q137042,q137042$9AD7C6A7-AC44-48FA-A5C0-0868B0A1F5CD,P569,+1919-03-17T00:00:00Z,,+1917-03-17T00:00:00Z,https://doi.org/10.1093/gmo/9781561592630.article.A2256336,statement
Q232193,q232193$02C28F93-4D00-408A-B253-E8132A343C16,P569,+1963-07-08T00:00:00Z,,+1962-07-08T00:00:00Z,https://www.oxfordreference.com/view/10.1093/oi/authority.20110803100255520,statement
Q114179,Q114179$F06C0C41-99F3-4864-B87C-00B75DB89BA9,P569,+1939-01-26T00:00:00Z,,+1941-01-26T00:00:00Z,http://proleksis.lzmk.hr/47/,statement
Q1331868,Q1331868$0A3CC6AD-60E3-4611-AA47-797591EB659D,P569,+1906-08-11T00:00:00Z,,+1907-08-11T00:00:00Z,https://www.lexm.uni-hamburg.de/object/lexm_lexmperson_00002826,statement
Q2066724,Q2066724$360593E6-62F9-460D-A31E-A7ACD9A1B250,P569,+1857-06-10T00:00:00Z,,+1862-06-10T00:00:00Z,http://snaccooperative.org/ark:/99166/w6ff4xsb,statement
