"item","openLibraryID","publicationDate"
"Q7383567","OL2389971W","1982-01-01T00:00:00Z"
"Q7392103","OL17872258W","2010-01-01T00:00:00Z"
"Q7392103","OL17872258W","2011-01-01T00:00:00Z"
"Q739461","OL3271098W","1990-08-01T00:00:00Z"
"Q7394793","OL9324489W","2007-01-01T00:00:00Z"
"Q7395184","OL1923143W","1990-01-01T00:00:00Z"
"Q739534","OL942365W","1994-08-26T00:00:00Z"
"Q7395997","OL2974550W","1982-01-01T00:00:00Z"
"Q7396561","OL8048827W","1978-01-01T00:00:00Z"
"Q7396936","OL457846W","1996-01-01T00:00:00Z"
"Q7397069","OL477530W","1992-01-01T00:00:00Z"
"Q7397293","OL3358884W","1979-07-01T00:00:00Z"
"Q7399479","OL640417W","2002-01-01T00:00:00Z"
"Q7401307","OL1903685W","1984-08-23T00:00:00Z"
"Q7401892","OL28302W","1991-01-01T00:00:00Z"
"Q7402578","OL11657664W","1957-02-23T00:00:00Z"
"Q74039895","OL129498W","1845-01-01T00:00:00Z"
"Q7404095","OL891940W","2001-04-23T00:00:00Z"
"Q7406361","OL500179W","1983-01-01T00:00:00Z"
"Q7406607","OL3494751W","1995-01-01T00:00:00Z"
"Q7407014","OL167165W","2004-01-01T00:00:00Z"
"Q7407027","OL1687440W","1966-01-01T00:00:00Z"
"Q7407027","OL1687454W","1966-01-01T00:00:00Z"
"Q740913","OL3474970W","1990-03-28T00:00:00Z"
"Q741013","OL2950953W","1985-01-01T00:00:00Z"
"Q741013","OL2950953W","1985-09-01T00:00:00Z"
"Q741222","OL17417W","1973-06-01T00:00:00Z"
"Q7413116","OL3341310W","1996-01-01T00:00:00Z"
"Q7413117","OL4465558W","1990-01-01T00:00:00Z"
"Q741391","OL40816W","1980-01-01T00:00:00Z"
"Q741407","OL471610W","1942-01-01T00:00:00Z"
"Q7415668","OL14912036W","2009-01-01T00:00:00Z"
"Q7416886","OL29271W","1997-01-01T00:00:00Z"
"Q7419817","OL2719919W","2009-05-29T00:00:00Z"
"Q7420595","OL15151277W","1986-01-01T00:00:00Z"
"Q7421736","OL127305W","2004-01-01T00:00:00Z"
"Q7422022","OL16044952W","2008-01-01T00:00:00Z"
"Q7422030","OL49669W","2000-01-01T00:00:00Z"
"Q742226","OL81631W","1983-11-14T00:00:00Z"
"Q7423385","OL2646755W","1941-01-01T00:00:00Z"
"Q7423844","OL5354799W","1994-01-01T00:00:00Z"
"Q7424384","OL14850090W","1997-09-08T00:00:00Z"
"Q7425731","OL15071755W","1998-01-01T00:00:00Z"
"Q742624","OL14935964W","1965-01-01T00:00:00Z"
"Q7426767","OL2465692W","2008-07-01T00:00:00Z"
"Q7426768","OL13306909W","1995-07-01T00:00:00Z"
"Q7426819","OL176316W","2007-01-01T00:00:00Z"
"Q7427735","OL1887223W","1998-01-01T00:00:00Z"
"Q7428271","OL18178159W","1999-11-09T00:00:00Z"
"Q7428296","OL27052W","2002-01-01T00:00:00Z"
"Q7428301","OL499066W","1976-01-28T00:00:00Z"
"Q7428479","OL14993523W","2008-05-01T00:00:00Z"
"Q74287","OL262758W","1937-01-01T00:00:00Z"
"Q74287","OL262758W","1937-09-21T00:00:00Z"
"Q7429280","OL17754979W","1953-01-01T00:00:00Z"
"Q7430430","OL2848713W","1981-01-01T00:00:00Z"
"Q7430432","OL56796W","2000-01-01T00:00:00Z"
"Q7430448","OL17680083W","1998-01-01T00:00:00Z"
"Q7430567","OL463568W","2009-01-01T00:00:00Z"
"Q7430611","OL18178192W","1971-01-01T00:00:00Z"
"Q743070","OL16476227W","1992-01-01T00:00:00Z"
"Q743180","OL65906W","1957-09-05T00:00:00Z"
"Q743180","OL65941W","1957-09-05T00:00:00Z"
"Q7432167","OL14860084W","2005-01-01T00:00:00Z"
"Q743223","OL1815447W","1976-08-17T00:00:00Z"
"Q743304","OL16074654W","1949-01-01T00:00:00Z"
"Q7433062","OL9392580W","2008-02-01T00:00:00Z"
"Q7433566","OL4958805W","1985-01-01T00:00:00Z"
"Q7433851","OL16924069W","2009-03-01T00:00:00Z"
"Q7435411","OL98238W","1988-01-01T00:00:00Z"
"Q7439218","OL4965909W","2008-01-01T00:00:00Z"
"Q7439296","OL17796211W","2009-01-01T00:00:00Z"
"Q7439514","OL151862W","1953-01-01T00:00:00Z"
"Q7439856","OL7967741W","2006-01-01T00:00:00Z"
"Q7439877","OL14959832W","2001-01-01T00:00:00Z"
"Q7439905","OL116674W","2002-04-09T00:00:00Z"
"Q7440093","OL2893606W","1986-01-01T00:00:00Z"
"Q7440172","OL18178327W","2001-01-01T00:00:00Z"
"Q7441712","OL15163888W","2004-10-13T00:00:00Z"
"Q7441771","OL10340391W","1922-01-01T00:00:00Z"
"Q7442289","OL5034428W","1977-01-01T00:00:00Z"
"Q7442353","OL48263W","1983-01-01T00:00:00Z"
"Q7443158","OL13670770W","2007-05-05T00:00:00Z"
"Q7443168","OL19714W","2004-06-01T00:00:00Z"
"Q7443444","OL3296481W","1991-01-01T00:00:00Z"
"Q7443538","OL121028W","2005-01-01T00:00:00Z"
"Q7443593","OL1070488W","1996-01-01T00:00:00Z"
"Q7443973","OL4312444W","1993-04-01T00:00:00Z"
"Q7444073","OL13775261W","2009-11-03T00:00:00Z"
"Q7444172","OL79653W","1952-01-01T00:00:00Z"
"Q7444518","OL5714313W","2007-05-29T00:00:00Z"
"Q744465","OL16060210W","1983-01-01T00:00:00Z"
"Q7444714","OL2971044W","1999-09-20T00:00:00Z"
"Q7445393","OL5094384W","2006-10-01T00:00:00Z"
"Q7445480","OL17720804W","2005-01-01T00:00:00Z"
"Q7445544","OL3100213W","1992-01-01T00:00:00Z"
"Q7445661","OL15971442W","1997-01-01T00:00:00Z"
"Q7445745","OL2939202W","1996-01-01T00:00:00Z"
"Q7445755","OL2673050W","1997-01-01T00:00:00Z"
"Q7445761","OL8122276W","2007-01-01T00:00:00Z"
"Q7445766","OL1811907W","1989-08-01T00:00:00Z"
"Q7445782","OL3828430W","2005-01-01T00:00:00Z"
"Q7446856","OL3918188W","1993-01-01T00:00:00Z"
"Q7447694","OL2007146W","1992-01-01T00:00:00Z"
"Q7447697","OL1810064W","1980-01-01T00:00:00Z"
"Q7447707","OL2172443W","2002-01-01T00:00:00Z"
"Q7448173","OL134122W","1975-01-01T00:00:00Z"
"Q74483","OL76483W","1914-01-01T00:00:00Z"
"Q744835","OL133577W","1994-01-01T00:00:00Z"
"Q7448633","OL5728452W","2000-01-01T00:00:00Z"
"Q74490492","OL3469465W","1946-01-01T00:00:00Z"
"Q7449779","OL555691W","1998-01-01T00:00:00Z"
"Q7450988","OL14903331W","2009-09-15T00:00:00Z"
"Q7450988","OL15882881W","2009-09-15T00:00:00Z"
"Q7451204","OL102603W","1985-01-01T00:00:00Z"
"Q745250","OL1737330W","1967-01-01T00:00:00Z"
"Q7455781","OL53544W","1979-10-18T00:00:00Z"
"Q745617","OL23309W","1997-06-02T00:00:00Z"
"Q7456285","OL5827133W","2006-01-01T00:00:00Z"
"Q7456956","OL14923472W","2007-07-27T00:00:00Z"
"Q7456957","OL16555W","2006-07-01T00:00:00Z"
"Q7456958","OL16555W","2004-08-01T00:00:00Z"
"Q7457213","OL2783427W","2003-01-01T00:00:00Z"
"Q7457669","OL8586194W","1985-01-01T00:00:00Z"
"Q7458310","OL17734265W","2003-08-26T00:00:00Z"
"Q7458319","OL114261W","1995-01-01T00:00:00Z"
"Q7458355","OL267173W","1857-01-01T00:00:00Z"
"Q7458485","OL15568568W","2010-06-29T00:00:00Z"
"Q7460252","OL2628785W","1997-09-01T00:00:00Z"
